Animal Id,Animal Type,Source Id,Council District,Intake Type,Intake Total,Staff Id,Intake Date,Intake Condition,Outcome Type,Outcome Date,Outcome Condition,Chip Status,Animal Origin,Month,Year
A1129881,DOG,P0971024,5,STRAY,1,JCB1574,09/21/2021,APP WNL,ADOPTION,10/10/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1128614,CAT,P0954020,3,STRAY,1,JJV,09/01/2021,APP WNL,FOSTER,09/01/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1129109,DOG,P9991753,6,STRAY,1,JQS1753,09/08/2021,APP WNL,RETURNED TO OWNER,09/12/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1129733,CAT,P0780073,6,STRAY,1,JJV,09/18/2021,APP WNL,FOSTER,10/10/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1129492,CAT,P0970450,10,OWNER SURRENDER,1,AVB8462,09/15/2021,APP WNL,ADOPTION,10/10/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1035679,DOG,P0968166,6,STRAY,1,MAW1723,08/23/2021,APP WNL,RETURNED TO OWNER,08/23/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1127395,DOG,P0967315,8,CONFISCATED,1,MRY1776,08/12/2021,APP WNL,RETURNED TO OWNER,08/23/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1129115,DOG,P0969887,,STRAY,1,WEB,09/08/2021,NORMAL,LOST EXP,10/10/2021,,,,SEP.2021,FY2021
A1130529,CAT,P9998461,1,KEEPSAFE,1,SKB8461,09/30/2021,APP WNL,RETURNED TO OWNER,10/10/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1127870,DOG,P0585290,3,STRAY,1,TJP8456,08/19/2021,APP WNL,ADOPTION,10/10/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1128026,DOG,P0773567,,OWNER SURRENDER,1,INA,08/22/2021,APP WNL,EUTHANIZED,08/22/2021,CRITICAL,SCAN NO CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1127881,DOG,P0968024,3,STRAY,1,TJP8456,08/19/2021,APP WNL,RETURNED TO OWNER,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1127756,DOG,P0967869,14,STRAY,1,MMK1748,08/18/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1127885,DOG,P0968035,6,STRAY,1,TJP8456,08/19/2021,APP SICK,TRANSFER,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1128987,DOG,P0969549,2,OWNER SURRENDER,1,JTB8469,09/07/2021,APP SICK,EUTHANIZED,09/12/2021,APP SICK,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1127969,CAT,P9998447,1,STRAY,1,MAC8447,08/21/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1128782,DOG,P0946964,5,STRAY,1,SKB8461,09/03/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1126027,DOG,P0628852,6,STRAY,1,CBU,07/23/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,JUL.2021,FY2021
A1130276,DOG,P9998469,9,STRAY,1,JTB8469,09/27/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1130547,DOG,P9998455,8,STRAY,1,DOI8455,09/30/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN CHIP,FIELD,SEP.2021,FY2021
A1129231,DOG,P0970022,7,STRAY,1,AVB8462,09/10/2021,APP WNL,RETURNED TO OWNER,09/12/2021,APP WNL,SCAN CHIP,FIELD,SEP.2021,FY2021
A1130516,DOG,P9991768,8,STRAY,1,ERB1768,09/30/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN NO CHIP,AGGOPS,SEP.2021,FY2021
A1128690,DOG,P9991195,1,STRAY,1,JOB1195,09/02/2021,APP WNL,ADOPTION,09/12/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1128830,CAT,P0969464,2,STRAY,1,CBM,09/04/2021,APP SICK,TRANSFER,10/11/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1126818,DOG,P9998467,8,STRAY,1,AGB8467,08/04/2021,APP INJ,ADOPTION,08/23/2021,APP INJ,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1130121,CAT,P0926321,3,STRAY,1,SKB8461,09/24/2021,APP SICK,FOSTER,10/11/2021,APP INJ,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1127548,WILDLIFE,P0967522,9,WILDLIFE,1,CVB1710,08/14/2021,DECEASED,DISPOSAL,08/18/2021,DECEASED,WILDLIFE - UNABLE TO SCAN,FIELD,AUG.2021,FY2021
A1127958,DOG,P0967757,7,STRAY,1,MCB1749,08/20/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1130050,DOG,P0971295,8,STRAY,1,BHB8470,09/23/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1128078,DOG,P0968288,3,STRAY,1,MLM1701,08/23/2021,APP WNL,RETURNED TO OWNER,08/23/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1130542,CAT,P0972003,4,STRAY,1,SKB8461,09/30/2021,UNDERAGE,TRANSFER,10/11/2021,UNDERAGE,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1128259,DOG,P9991710,5,STRAY,1,CVB1710,08/26/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1126990,CAT,P0966839,,OWNER SURRENDER,1,CBU,08/06/2021,APP WNL,FOSTER,10/04/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1129198,CAT,P0821548,1,STRAY,1,JJV,09/10/2021,APP INJ,FOSTER,09/23/2021,APP INJ,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1127878,DOG,P0968008,3,OWNER SURRENDER,1,TJP8456,08/19/2021,APP SICK,RETURNED TO OWNER,08/23/2021,APP SICK,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1129650,DOG,P0970675,4,STRAY,1,CBM,09/17/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1130399,DOG,P0971826,7,STRAY,1,CVB1710,09/29/2021,APP WNL,ADOPTION,10/11/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1128831,CAT,P0969464,2,STRAY,1,CBM,09/04/2021,APP SICK,TRANSFER,10/11/2021,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1127339,DOG,P9991701,10,STRAY,1,MLM1701,08/11/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1127992,WILDLIFE,P0968184,10,CONFISCATED,1,KCB8445,08/21/2021,APP WNL,TRANSFER,08/23/2021,APP WNL,UNABLE TO SCAN,FIELD,AUG.2021,FY2021
A1128730,DOG,P0969314,10,STRAY,1,KCB8445,09/03/2021,APP WNL,ADOPTION,10/12/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1127757,CAT,P0967869,14,STRAY,1,MMK1748,08/18/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1126949,DOG,P9998447,2,STRAY,1,MAC8447,08/06/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1127919,DOG,P9998459,9,STRAY,1,RJB8459,08/20/2021,APP WNL,RETURNED TO OWNER,08/23/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1129286,DOG,P0970112,,STRAY,1,WEB,09/09/2021,NORMAL,LOST EXP,10/12/2021,,,,SEP.2021,FY2021
A1040411,DOG,P0968171,3,STRAY,1,MAW1723,08/23/2021,APP WNL,RETURNED TO OWNER,08/23/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1126003,DOG,P0965457,10,OWNER SURRENDER,1,JTB8469,07/23/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN CHIP,FIELD,JUL.2021,FY2021
A1128773,DOG,P0969383,,OWNER SURRENDER,1,CBM,09/03/2021,APP WNL,ADOPTION,10/12/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1130445,DOG,P9991754,4,STRAY,1,ATB1754,09/29/2021,APP WNL,ADOPTION,10/12/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1124556,DOG,P0963448,8,CONFISCATED,1,MAW1723,07/03/2021,DECEASED,DISPOSAL,08/23/2021,DECEASED,SCAN NO CHIP,FIELD,JUL.2021,FY2021
A1130097,DOG,P0766975,,OWNER SURRENDER,1,JJV,09/24/2021,APP WNL,ADOPTION,10/12/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1127654,CAT,P0967732,1,STRAY,1,JCB,08/16/2021,CRITICAL,EUTHANIZED,08/23/2021,CRITICAL,SCAN NO CHIP,OVER THE COUNTER,AUG.2021,FY2021
