Animal Id,Animal Type,Source Id,Council District,Intake Type,Intake Total,Staff Id,Intake Date,Intake Condition,Outcome Type,Outcome Date,Outcome Condition,Chip Status,Animal Origin,Month,Year
A1092882,CAT,P0914702,,STRAY,1,WEB,01/06/2021,NORMAL,LOST EXP,02/08/2020,,,,JAN.2021,FY2021
A1104327,DOG,P0933821,6,TREATMENT,1,SRJ,10/03/2020,APP WNL,TREATMENT,10/04/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1096777,DOG,P0919884,,STRAY,1,WEB,12/23/2020,NORMAL,LOST EXP,03/26/2020,,,,DEC.2020,FY2021
A1106291,DOG,P0935679,,STRAY,1,WEB,11/18/2020,NORMAL,LOST EXP,09/24/2020,,,,NOV.2020,FY2021
A1108449,DOG,P0939059,,OWNER SURRENDER,1,JLC,10/05/2020,APP WNL,ADOPTION,10/07/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108479,CAT,P0005166,5,STRAY,1,BTB1210,10/05/2020,APP INJ,EUTHANIZED,10/06/2020,APP INJ,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1098662,DOG,P0942513,6,STRAY,1,KCB8445,11/19/2020,APP WNL,EUTHANIZED,11/26/2020,APP WNL,SCAN CHIP,FIELD,NOV.2020,FY2021
A1106707,DOG,P0936672,,OWNER SURRENDER,1,IFM,10/01/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1105238,CAT,P0934016,,TREATMENT,1,CDM,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109990,CAT,P0649232,,FOSTER,1,CDM,11/20/2020,UNKNOWN,FOSTER,11/20/2020,UNKNOWN,UNABLE TO SCAN,OVER THE COUNTER,NOV.2020,FY2021
A1105328,CAT,P0881793,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108446,DOG,P0939137,,OWNER SURRENDER,1,TLM,10/09/2020,APP WNL,TRANSFER,10/11/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108766,CAT,P0888223,2,STRAY,1,KCB8445,10/10/2020,CRITICAL,EUTHANIZED,10/11/2020,CRITICAL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1105239,CAT,P0934016,,TREATMENT,1,CDM,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1105707,DOG,P0934764,6,TREATMENT,1,NGD,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109611,DOG,P0940844,8,CONFISCATED,1,ROB1772,10/28/2020,APP WNL,RETURNED TO OWNER,11/06/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1064837,DOG,P0589540,6,TREATMENT,1,OET,03/08/2021,APP WNL,TREATMENT,03/09/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,MAR.2021,FY2021
A1108232,DOG,P9998452,14,STRAY,1,SME8452,10/01/2020,APP WNL,RETURNED TO OWNER,10/01/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1106990,CAT,P0924843,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1107713,CAT,P0507756,,FOSTER,1,VMJ,10/04/2020,DECEASED,DIED,10/04/2020,DECEASED,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108270,WILDLIFE,P9991710,4,WILDLIFE,1,CVB1710,10/01/2020,APP INJ,EUTHANIZED,10/01/2020,APP INJ,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1109591,CAT,P0940735,6,STRAY,1,SCB1704,10/27/2020,APP SICK,TRANSFER,10/29/2020,UNDERAGE,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108388,CAT,P9998452,9,STRAY,1,SME8452,10/03/2020,APP SICK,TRANSFER,10/04/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108253,CAT,P0630889,1,STRAY,1,TLM,10/01/2020,UNDERAGE,EUTHANIZED,10/01/2020,APP SICK,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1107010,CAT,P0936954,,OWNER SURRENDER,1,DJH,10/09/2020,APP WNL,TRANSFER,10/10/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109010,WILDLIFE,P0897981,10,WILDLIFE,1,TDC1739,10/15/2020,APP WNL,WILDLIFE,10/15/2020,APP WNL,WILDLIFE - UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1108258,DOG,P9998452,5,STRAY,1,SME8452,10/01/2020,APP WNL,RETURNED TO OWNER,10/01/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1110395,CAT,P0942039,,OWNER SURRENDER,1,IFM,11/12/2020,APP WNL,ADOPTION,11/20/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1107049,DOG,P0939534,8,STRAY,1,AMB8451,10/10/2020,APP WNL,ADOPTION,10/17/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108231,DOG,P0938704,1,STRAY,1,TJP8456,10/01/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1104557,DOG,P0937289,,FOSTER,1,GDG,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108958,CAT,P0600449,,OWNER SURRENDER,1,SDW,10/14/2020,APP WNL,ADOPTION,10/21/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108052,CAT,P0926284,,FOSTER,1,VMJ,11/10/2020,APP WNL,ADOPTION,11/10/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1110087,DOG,P9998455,6,STRAY,1,DOI8455,11/06/2020,APP WNL,ADOPTION,11/10/2020,APP WNL,SCAN NO CHIP,FIELD,NOV.2020,FY2021
A1108371,WILDLIFE,P0938892,,OWNER SURRENDER,1,JCZ,10/03/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1106912,DOG,P0941543,3,STRAY,1,TJP8456,11/06/2020,APP WNL,RETURNED TO OWNER,11/06/2020,APP WNL,SCAN CHIP,FIELD,NOV.2020,FY2021
A1108257,DOG,P9998452,5,STRAY,1,SME8452,10/01/2020,APP WNL,RETURNED TO OWNER,10/01/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108965,CAT,P0939711,1,OWNER SURRENDER,1,VJD1770,10/14/2020,APP WNL,FOSTER,10/17/2020,UNDERAGE,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108793,DOG,P9991736,6,STRAY,1,TMB1736,10/11/2020,APP WNL,ADOPTION,10/15/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108275,WILDLIFE,P9991781,9,WILDLIFE,1,AOB1781,10/01/2020,CRITICAL,EUTHANIZED,10/01/2020,CRITICAL,WILDLIFE - UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1108267,CAT,P0938753,8,STRAY,1,IFM,10/01/2020,UNDERAGE,EUTHANIZED,10/01/2020,APP SICK,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108324,DOG,P0506873,3,STRAY,1,BMO1764,10/02/2020,APP WNL,TRANSFER,10/04/2020,APP INJ,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108335,DOG,P0938819,6,KEEPSAFE,1,CVB1710,10/02/2020,APP WNL,TRANSFER,10/13/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108392,DOG,P9991718,8,STRAY,1,MWG1718,10/03/2020,APP WNL,RETURNED TO OWNER,10/03/2020,APP WNL,SCAN NO CHIP,AGGOPS,OCT.2020,FY2021
A1108277,CAT,P0938758,2,STRAY,1,ERB1768,10/01/2020,APP SICK,EUTHANIZED,10/01/2020,APP SICK,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1105330,CAT,P0881793,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1104624,DOG,P0932788,,TREATMENT,1,CDM,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1105334,CAT,P0930596,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108357,DOG,P0938865,7,OWNER SURRENDER,1,RKB1765,10/02/2020,APP WNL,EUTHANIZED,10/13/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108508,DOG,P9991761,4,STRAY,1,DAA1761,10/06/2020,APP WNL,RETURNED TO OWNER,10/06/2020,APP WNL,UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1114025,DOG,P0948408,,STRAY,1,WEB,02/03/2021,NORMAL,LOST EXP,03/06/2021,,,,FEB.2021,FY2021
A1111596,CAT,P0906112,4,STRAY,1,ROB1772,12/10/2020,APP INJ,EUTHANIZED,12/10/2020,CRITICAL,SCAN NO CHIP,FIELD,DEC.2020,FY2021
A1109337,CAT,P0940340,1,STRAY,1,DAL,10/21/2020,UNDERAGE,EUTHANIZED,10/21/2020,APP INJ,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108463,CAT,P0939065,12,STRAY,1,DBB1715,10/05/2020,APP WNL,TRANSFER,10/08/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1110103,CAT,P0862629,,OWNER SURRENDER,1,TLM,11/07/2020,APP WNL,ADOPTION,11/20/2020,APP SICK,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1111033,DOG,P0925780,1,STRAY,1,TJP8456,11/26/2020,APP WNL,RETURNED TO OWNER,11/26/2020,APP WNL,SCAN NO CHIP,FIELD,NOV.2020,FY2021
A1108229,WILDLIFE,P0938699,2,STRAY,1,ODB1712,10/01/2020,APP INJ,EUTHANIZED,10/01/2020,APP INJ,UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1109069,CAT,P0936308,,FOSTER,1,CDM,10/31/2020,APP WNL,ADOPTION,10/31/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108533,DOG,P0724029,6,STRAY,1,VJD1770,10/06/2020,APP WNL,ADOPTION,10/11/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108376,CAT,P9991710,4,STRAY,1,CVB1710,10/03/2020,APP INJ,EUTHANIZED,10/04/2020,FATAL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108473,DOG,P9991754,4,STRAY,1,ATB1754,10/05/2020,APP INJ,FOSTER,10/17/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1079383,DOG,P0915690,6,TREATMENT,1,RJB,10/20/2020,APP WNL,TREATMENT,10/20/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108235,CAT,P0938714,3,STRAY,1,SDW,10/01/2020,UNDERAGE,FOSTER,10/01/2020,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108284,DOG,P0938765,9,STRAY,1,AOB1781,10/01/2020,APP WNL,RETURNED TO OWNER,10/01/2020,APP WNL,UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A0878645,DOG,P0825032,,OWNER SURRENDER,1,IFM,10/01/2020,APP SICK,ADOPTION,10/11/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1104642,CAT,P0927761,,FOSTER,1,GDG,10/02/2020,APP WNL,ADOPTION,10/02/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108121,DOG,P0855597,5,TRANSFER,1,AOB1781,10/01/2020,APP SICK,RETURNED TO OWNER,10/02/2020,APP SICK,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108286,DOG,P0938772,2,OWNER SURRENDER,1,ROB1772,10/01/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1106399,CAT,P0935669,,FOSTER,1,CDM,10/15/2020,APP WNL,ADOPTION,10/15/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108952,DOG,P0919844,1,STRAY,1,TLM,10/14/2020,APP WNL,ADOPTION,10/15/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108246,DOG,P0938730,8,STRAY,1,MHB1709,10/01/2020,APP WNL,ADOPTION,10/06/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1104220,DOG,P0934237,6,TREATMENT,1,RJB,10/06/2020,APP WNL,TREATMENT,10/06/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108363,DOG,P0938880,8,STRAY,1,MHB1709,10/03/2020,APP WNL,RETURNED TO OWNER,10/07/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108447,DOG,P0939059,,OWNER SURRENDER,1,JLC,10/05/2020,APP WNL,ADOPTION,10/06/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109834,DOG,P9991578,10,STRAY,1,ASB1579,11/01/2020,APP WNL,ADOPTION,11/06/2020,APP WNL,SCAN NO CHIP,FIELD,NOV.2020,FY2021
A1111181,DOG,P0919284,,TREATMENT,1,SVD,12/20/2020,APP INJ,TREATMENT,12/20/2020,APP INJ,SCAN NO CHIP,OVER THE COUNTER,DEC.2020,FY2021
A1109056,DOG,P0939930,4,STRAY,1,SDW,10/16/2020,UNDERAGE,TRANSFER,10/17/2020,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1056377,DOG,P0948779,1,STRAY,1,RVB1213,02/08/2021,APP WNL,RETURNED TO OWNER,02/08/2021,APP WNL,SCAN CHIP,FIELD,FEB.2021,FY2021
A1105674,DOG,P0935427,,OWNER SURRENDER,1,DAL,11/24/2020,APP WNL,EUTHANIZED,11/26/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1107848,CAT,P0066334,,FOSTER,1,VMJ,10/20/2020,APP WNL,ADOPTION,10/20/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108247,DOG,P9991710,8,STRAY,1,CVB1710,10/01/2020,CRITICAL,DIED,10/02/2020,CRITICAL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108330,DOG,P9998452,5,STRAY,1,SME8452,10/02/2020,APP WNL,ADOPTION,10/06/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108625,DOG,P9991748,8,STRAY,1,MMK1748,10/07/2020,APP WNL,FOSTER,10/19/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1109777,DOG,P0902545,6,TREATMENT,1,RJB,11/15/2020,APP WNL,TREATMENT,11/15/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1108715,DOG,P0940286,2,OWNER SURRENDER,1,MCB1749,10/21/2020,APP WNL,ADOPTION,10/25/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1106559,CAT,P0936111,,FOSTER,1,TLM,10/17/2020,APP WNL,ADOPTION,10/17/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108724,CAT,P0748640,8,STRAY,1,MAW1723,10/09/2020,APP SICK,TRANSFER,10/10/2020,UNDERAGE,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1105735,CAT,P0689875,,FOSTER,1,GDG,10/02/2020,APP WNL,ADOPTION,10/02/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108248,DOG,P0927226,4,STRAY,1,BMO1764,10/01/2020,APP WNL,RETURNED TO OWNER,10/02/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1109369,DOG,P0940377,6,STRAY,1,VJD1770,10/21/2020,APP WNL,TRANSFER,10/29/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108362,DOG,P0938874,2,STRAY,1,SME8452,10/03/2020,APP WNL,RETURNED TO OWNER,10/04/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1103231,DOG,P0930604,,OWNER SURRENDER,1,DAL,10/04/2020,APP SICK,RETURNED TO OWNER,10/04/2020,APP SICK,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1041065,DOG,P0918607,2,OWNER SURRENDER,1,KCB8445,12/31/2020,APP WNL,ADOPTION,01/01/2021,APP WNL,SCAN CHIP,FIELD,DEC.2020,FY2021
A1053383,DOG,P9991754,8,STRAY,1,ATB1754,10/04/2020,APP WNL,ADOPTION,10/10/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1039372,DOG,P9991748,1,STRAY,1,MMK1748,10/10/2020,APP WNL,RETURNED TO OWNER,10/10/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1106634,DOG,P0936450,6,TREATMENT,1,NGD,10/10/2020,APP WNL,TREATMENT,10/10/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108175,CAT,P0938723,,OWNER SURRENDER,1,JLC,10/11/2020,APP INJ,EUTHANIZED,10/11/2020,DECEASED,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1092770,DOG,P0862429,6,TREATMENT,1,JQS,10/07/2020,APP WNL,TREATMENT,10/07/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1106996,CAT,P0823633,,FOSTER,1,CDM,10/16/2020,APP WNL,ADOPTION,10/17/2020,CRITICAL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108581,DOG,P9991723,4,STRAY,1,MAW,10/07/2020,APP WNL,RETURNED TO OWNER,10/07/2020,APP WNL,UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1108331,DOG,P9991718,8,STRAY,1,MWG1718,10/02/2020,APP WNL,RETURNED TO OWNER,10/02/2020,APP WNL,SCAN NO CHIP,AGGOPS,OCT.2020,FY2021
A1109096,CAT,P0939968,4,STRAY,1,BMO1764,10/16/2020,APP SICK,FOSTER,10/20/2020,UNDERAGE,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A0920549,DOG,P0630371,12,CONFISCATED,1,ATB1754,12/06/2020,APP WNL,RETURNED TO OWNER,12/20/2020,APP WNL,SCAN CHIP,FIELD,DEC.2020,FY2021
A1092502,DOG,P0932880,6,TREATMENT,1,RJB,11/01/2020,APP WNL,TREATMENT,11/02/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1109251,CAT,P9991754,6,STRAY,1,ATB1754,10/19/2020,APP SICK,EUTHANIZED,10/19/2020,CRITICAL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108448,DOG,P0939059,,OWNER SURRENDER,1,JLC,10/05/2020,APP WNL,ADOPTION,10/06/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108379,DOG,P0851601,,OWNER SURRENDER,1,IFM,10/03/2020,APP WNL,EUTHANIZED,10/04/2020,FATAL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109930,DOG,P0941359,13,KEEPSAFE,1,DBB1715,11/03/2020,APP WNL,RETURNED TO OWNER,11/06/2020,APP WNL,SCAN NO CHIP,FIELD,NOV.2020,FY2021
A1106593,CAT,P9991213,,FOSTER,1,CDM,10/02/2020,APP WNL,FOSTER,10/03/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1106560,CAT,P0936111,,FOSTER,1,CDM,10/17/2020,APP WNL,ADOPTION,10/17/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108529,CAT,P0939180,1,STRAY,1,ATB1754,10/06/2020,UNDERAGE,TRANSFER,10/07/2020,UNDERAGE,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1109704,DOG,P9991549,4,STRAY,1,RAB1549,10/29/2020,APP WNL,RETURNED TO OWNER,10/29/2020,APP WNL,SCAN CHIP,OPS,OCT.2020,FY2021
A1108386,DOG,P9991721,8,STRAY,1,MWG1718,10/03/2020,APP WNL,RETURNED TO OWNER,10/03/2020,APP WNL,SCAN CHIP,AGGOPS,OCT.2020,FY2021
A1108387,CAT,P0939174,,FOSTER,1,VMJ,11/10/2020,APP WNL,ADOPTION,11/10/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1108708,WILDLIFE,P0939409,3,STRAY,1,DJH,10/09/2020,APP SICK,DIED,10/09/2020,CRITICAL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1110051,WILDLIFE,P0941516,8,STRAY,1,TJP8456,11/06/2020,APP WNL,ADOPTION,11/10/2020,APP WNL,SCAN NO CHIP,FIELD,NOV.2020,FY2021
A1107084,DOG,P0936997,6,TREATMENT,1,SRJ,10/02/2020,APP WNL,TREATMENT,10/02/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108414,DOG,P9991579,1,STRAY,1,ASB1579,10/04/2020,APP WNL,RETURNED TO OWNER,10/08/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108994,DOG,P0939833,4,OWNER SURRENDER,1,AOB1781,10/14/2020,DECEASED,TRANSFER,10/15/2020,DECEASED,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108053,CAT,P0926284,,FOSTER,1,VMJ,11/10/2020,APP WNL,ADOPTION,11/10/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1109661,DOG,P0922044,2,STRAY,1,DBB1715,10/28/2020,APP WNL,RETURNED TO OWNER,10/29/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108623,DOG,P9991780,5,STRAY,1,AKB1780,10/07/2020,APP WNL,ADOPTION,10/11/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108289,DOG,P9998447,8,STRAY,1,MAC8447,10/02/2020,APP WNL,TRANSFER,10/02/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1105382,DOG,P0890288,6,TREATMENT,1,RJB,10/06/2020,APP WNL,TREATMENT,10/06/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108254,CAT,P0630889,1,STRAY,1,TLM,10/01/2020,UNDERAGE,TRANSFER,10/02/2020,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1112324,DOG,P0945391,3,STRAY,1,SCB1704,12/29/2020,APP WNL,ADOPTION,01/02/2021,APP WNL,SCAN NO CHIP,FIELD,DEC.2020,FY2021
A1108297,DOG,P9991709,4,KEEPSAFE,1,MHB1709,10/02/2020,APP WNL,RETURNED TO OWNER,10/02/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108561,CAT,P0829822,,OWNER SURRENDER,1,BBW,10/07/2020,APP WNL,TRANSFER,10/08/2020,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108560,CAT,P0058343,7,OWNER SURRENDER,1,SME8452,10/07/2020,APP WNL,RETURNED TO OWNER,10/11/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108536,WILDLIFE,P0939158,7,WILDLIFE,1,DBB1715,10/06/2020,CRITICAL,EUTHANIZED,10/06/2020,CRITICAL,WILDLIFE - UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1108828,DOG,P9998450,8,STRAY,1,AMS8450,10/12/2020,APP WNL,ADOPTION,10/17/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108343,DOG,P9991748,5,STRAY,1,MMK1748,10/02/2020,APP WNL,RETURNED TO OWNER,10/02/2020,APP WNL,UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1108243,CAT,P0938717,1,STRAY,1,TJP8456,10/01/2020,APP SICK,TRANSFER,10/02/2020,APP SICK,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1111296,CAT,P0689144,,OWNER SURRENDER,1,SDW,12/03/2020,APP WNL,TRANSFER,12/03/2020,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,DEC.2020,FY2021
A1108513,DOG,P9991736,4,STRAY,1,TMB1736,10/06/2020,APP WNL,RETURNED TO OWNER,10/06/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108968,CAT,P0787058,,TREATMENT,1,VMJ,11/10/2020,APP WNL,TREATMENT,11/10/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1109247,CAT,P0940109,,OWNER SURRENDER,1,JLC,10/19/2020,APP WNL,TRANSFER,10/25/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1111499,DOG,P9991195,7,STRAY,1,JOB1195,12/08/2020,APP WNL,RETURNED TO OWNER,12/10/2020,APP WNL,SCAN NO CHIP,FIELD,DEC.2020,FY2021
A1092503,DOG,P0932812,6,TREATMENT,1,JQS,10/11/2020,APP WNL,TREATMENT,10/11/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1105958,CAT,P0878396,,FOSTER,1,CDM,10/03/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108252,DOG,P9991709,5,STRAY,1,MHB1709,10/01/2020,APP WNL,RETURNED TO OWNER,10/13/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1107025,CAT,P0925852,,TREATMENT,1,VMJ,10/13/2020,APP WNL,TREATMENT,10/13/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1090382,DOG,P9991780,5,STRAY,1,AKB1780,10/13/2020,APP WNL,RETURNED TO OWNER,10/13/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108334,DOG,P0938816,12,STRAY,1,ODB1712,10/02/2020,APP INJ,RETURNED TO OWNER,10/02/2020,APP INJ,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108256,DOG,P9991781,5,STRAY,1,AOB1781,10/01/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108814,WILDLIFE,P9991770,13,WILDLIFE,1,VJD1770,10/11/2020,APP WNL,WILDLIFE,10/11/2020,APP WNL,WILDLIFE - UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1107635,DOG,P9991579,9,STRAY,1,ASB1579,10/05/2020,APP INJ,TRANSFER,10/11/2020,APP INJ,SCAN CHIP,FIELD,OCT.2020,FY2021
A1109053,DOG,P0939930,4,STRAY,1,SDW,10/16/2020,UNDERAGE,TRANSFER,10/17/2020,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
